species_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Ectopseudomonas mendocina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella ictaluri	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Eleftheria terrae	3	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6
Elizabethkingia anophelis	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elizabethkingia miricola	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Empedobacter falsenii	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ensifer sp. PDNC004	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter asburiae	103	98	8	10	71	62	0	0	0	0	0	0	0	0	0	0	0	0	200
Enterobacter cloacae	16	15	414	384	243	230	0	0	0	0	0	0	0	0	0	0	0	0	30
Enterobacter cloacae complex sp. ECL404	1	1	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Enterobacter hormaechei	16	18	47	46	16	19	0	0	0	0	0	0	0	0	0	0	0	0	35
Enterobacter kobei	9	8	45	42	8	7	0	0	0	0	0	0	0	0	0	0	0	0	19
Enterobacter mori	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
Enterobacter roggenkampii	23	21	32	27	8	7	0	0	0	0	0	0	0	0	0	0	0	0	44
Enterobacter sp. JBIWA003	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Enterococcus faecalis	23	27	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	51
Enterococcus faecium	7	6	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15
Enterococcus gallinarum	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Enterococcus lactis	2	3	12	14	4	3	0	0	0	0	0	0	0	0	0	0	0	0	4
Eponavirus epona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia phage vB_EamM_Caitlin	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia coli	2059	1978	993	931	1898	1836	27	28	0	0	0	0	2	0	0	0	0	0	4167
Escherichia fergusonii	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faucicola atlantae	5	6	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11
Faucicola osloensis	642	601	355	339	34	33	0	0	0	0	0	0	0	0	0	0	0	0	1266
Ferozepurvirus PS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium covae	3	2	18	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	5
Flavobacterium limnophilum	2	2	11	12	8	7	5	4	0	0	0	0	0	0	0	0	0	1	4
Fulvitalea axinellae	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium vincentii	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter fulvus	15	11	3	3	22	20	0	0	0	0	0	0	0	0	0	0	0	0	24
Glaesserella parasuis	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Gustavvirus mahdia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haematospirillum jordaniae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Halobaculum lipolyticum	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomarina halobia	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas casei	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Halomontanus rarus	12	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Halovivax cerinus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homo sapiens	91	297	80	210	84	212	1	1	1	2	0	1	0	2	0	1	0	2	2120
Human feces pecovirus	59	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
Hydrogenophaga sp. BPS33	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Hydrogenophaga sp. PBL-H3	0	0	15	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter monticola	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ideonella dechloratans	1	1	3	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Ilyobacter polytropus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Junduvirus copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kahnovirus oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kilunavirus KL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingevirus communis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella aerogenes	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Klebsiella grimontii	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella michiganensis	3	3	12	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	6
Klebsiella oxytoca	1	0	4	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella pneumoniae	1023	989	367	349	889	803	0	0	140	129	0	0	271	203	2	5	4	4	2082
Klebsiella quasipneumoniae	4	3	4	4	8	8	0	0	0	0	0	0	0	0	0	0	0	0	8
Klebsiella sp. BDA134-6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Klebsiella sp. RHBSTW-00215	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella sp. WOUb02	2	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Klebsiella variicola	2	1	4	4	92	87	0	0	0	0	0	0	0	0	0	0	0	0	3
Kluyvera intermedia	0	1	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	1
Krampusvirus krampus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospira eligens	7	6	15	15	5	4	0	0	0	0	0	0	0	0	0	0	0	0	13
Lactiplantibacillus plantarum	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus sp. PC121B	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus garvieae	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Lactococcus lactis	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus sp.	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lagaffevirus lagaffe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia pneumoniae	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionella adelaidensis	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leisingera aquaemixtae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Lelliottia amnigena	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Leuconostoc suionicum	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus murinus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus fermentum	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Listeria innocua	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Lughvirus lugh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus sp. RS11	0	0	7	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia sp. WG5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterraneibacter faecis	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Mesorhizobium sp. B2-1-8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Metallibacterium scheffleri	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter intestini	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter smithii	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanolobus sp. ZRKC3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Methanothrix soehngenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylibium petroleiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium bullatum	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Methylococcus sp. EFPC2	81	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174
Methylomonas sp. MS20	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylorubrum extorquens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium paraoxydans	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium proteolyticum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Microbacterium sediminis	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. AISO3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. BDGP8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. J1-1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. NIBRBAC000506063	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. No. 7	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus luteus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitsuaria sp. 7	1	2	13	13	19	19	1	1	0	0	0	0	0	0	0	0	0	0	3
Mitsuokella multacida	107	104	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	214
Moellerella wisconsensis	0	0	3	2	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Monoglobus pectinilyticus	3	2	5	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	6
Mooglevirus moogle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morganella morganii	2	2	6	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4
Moturavirus motura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum gordoncarteri	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Mushuvirus mushu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria gonorrhoeae	214	215	251	237	282	272	0	0	0	0	0	0	0	0	0	0	0	0	438
Neptuniibacter sp. QD37_11	1	0	2	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitratidesulfovibrio vulgaris	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Nitratireductor sp. GZWM139	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Niveibacterium microcysteis	0	0	16	13	6	6	3	1	0	0	0	0	0	0	0	0	0	0	0
Niveispirillum cyanobacteriorum	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardia farcinica	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides sp. QY071	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonomuraea gerenzanensis	1	1	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Novemvirus T5282H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium humi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Novosphingobium sp. KACC 22771	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oengusvirus oengus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ornithinimicrobium sp. INDO-MA30-4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ottowia caeni	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus cellulosilyticus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Pandoraea sp. XJJ-1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Pantoea ananatis	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea sp. JZ2	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
Parabacteroides distasonis	23	19	6	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	44
Paraburkholderia aromaticivorans	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus aerodenitrificans	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus aestuarii	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus albicereus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus aminovorans	0	0	22	20	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus denitrificans	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus homiensis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus jeotgali	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus kondratievae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus marcusii	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus pantotrophus	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus sanguinis	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus sp. Arc7-R13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus sp. TD-10	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus sp. TOH	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus tegillarcae	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Paracoccus versutus	0	1	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Paracoccus yeei	1	0	13	13	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1
Paragemmobacter aquarius	0	0	0	1	101	91	0	0	0	0	0	0	0	0	0	0	0	0	0
Pasteurella multocida	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium sp. B2J-2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium versatile	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelobacter propionicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoclostridium acidaminophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Persicobacter psychrovividus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Peteryoungia algae	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pettyvirus petty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola dorei	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Phocaeicola vulgatus	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Phytobacter diazotrophicus	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Piscesmortuivirus LPM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscinibacter gummiphilus	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Polaromonas hydrogenivorans	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas sp.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas sp. E3S	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4
Polaromonas sp. JS666	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Popoffvirus pv56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas gingivalis	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella sp. oral taxon 299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Priestia megaterium	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus mirabilis	5	5	10	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10
Providencia alcalifaciens	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Providencia huaxiensis	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia sp. PROV046	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia sp. PROV080	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudidiomarina salilacus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolactococcus piscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolactococcus raffinolactis	29	24	48	49	15	15	0	0	0	0	0	0	0	0	0	0	0	0	54
Pseudomonas aeruginosa	575	539	400	373	381	382	2	1	0	0	0	0	0	0	0	0	0	0	1137
Pseudomonas alloputida	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas bubulae	71	68	23	18	568	558	2	0	0	0	0	0	0	0	1	0	0	0	143
Pseudomonas chlororaphis	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas extremaustralis	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas fluorescens	41	40	206	193	27	29	0	0	0	0	0	0	0	0	0	0	0	0	80
Pseudomonas fragi	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Pseudomonas hunanensis	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas kurunegalensis	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas lundensis	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4
Pseudomonas luteola	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas mandelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas marginalis	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas nitroreducens	2	2	2	3	78	85	0	0	0	0	0	0	0	0	0	0	0	0	4
Pseudomonas oryzihabitans	2	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5
Pseudomonas phage PS-1	0	0	0	0	592	545	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas putida	5	4	24	21	13	12	0	0	0	0	0	0	0	0	0	0	0	0	9
Pseudomonas saxonica	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas shirazensis	8	6	0	1	12	13	0	0	0	0	0	0	0	0	0	0	0	0	15
Pseudomonas sp.	0	0	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. 4810-S13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. A2	7	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Pseudomonas sp. BYT-5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. LFM046	4	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8
Pseudomonas sp. MIL9	129	121	194	187	3	2	0	0	0	0	0	0	0	0	0	0	0	0	256
Pseudomonas sp. MRSN 12121	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Pseudomonas sp. UBT	10	10	8	7	51	47	0	0	0	0	0	0	0	0	0	0	0	0	22
Pseudomonas sp. Z8(2022)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas syringae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas syringae group genomosp. 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas veronii	2	2	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4
Psychrobacter sanguinis	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter sp. 4Bb	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Psychrobacter sp. P11G5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter urativorans	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pusillibacter faecalis	1185	1112	505	456	949	885	0	0	0	0	0	0	0	0	0	0	0	0	2317
Qipengyuania citrea	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rahnella aceris	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rahnella variigena	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Rahnella victoriana	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia pseudosolanacearum	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ralstonia solanacearum	1	0	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia sp. RRA	3	3	11	9	6	5	0	0	0	0	0	0	0	0	0	0	0	0	6
Ralstonia syzygii	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella ornithinolytica	1	0	5	5	5	4	0	1	0	0	0	0	0	0	0	0	0	0	1
Raoultella planticola	1	0	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1
Raoultella sp. HC6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Reipivirus ST16OXA48phi54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium daejeonense	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium hidalgonense	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rhizobium leguminosarum	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Rhizobium rosettiformans	12	12	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
Rhizobium ruizarguesonis	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. NLR16a	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. SYY.PMSO	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcoides fascians	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus qingshengii	0	0	2	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus sp. p52	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rhodoferax antarcticus	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Rhodopseudomonas sp. BAL398	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Rhodovastum atsumiense	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riemerella anatipestifer	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robbsia andropogonis	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas mucosa	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Roseomonas sp. FDAARGOS_362	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rubrivivax sp. RP6-9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Salinivibrio proteolyticus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Salipiger abyssi	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella enterica	1	1	2	2	7	5	0	0	0	0	0	0	0	0	0	0	0	0	2
Salvovirus salvo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebaldella termitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Segatella copri	51	52	26	20	13	14	0	0	0	0	0	0	0	0	0	0	1	1	106
Segatella hominis	7	7	6	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	15
Senquatrovirus SEN4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Septimatrevirus C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia marcescens	21	17	58	49	16	18	0	0	0	0	0	0	0	0	0	0	0	0	39
Serratia nevei	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sharonstreetvirus LAh7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenzhenvirus AhSzq1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenzhenvirus AhSzw1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella algae	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella baltica	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella decolorationis	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella sp. LC6	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella xiamenensis	6	6	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12
Shinella oryzae	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shinella sp. PSBB067	25	22	26	17	5	6	0	0	0	0	0	0	0	0	0	0	0	0	47
Shinella sumterensis	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shinella zoogloeoides	1	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Sorangium sp. So ce119	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
