genus_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Chryseobacterium	5	6	99	92	63	64	0	1	0	0	0	0	0	0	0	0	0	0	12
Cimandefvirus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cinvestavvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter	7	6	3	3	8	9	0	0	0	0	0	0	0	0	0	0	0	0	13
Clostridioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas	8	6	96	87	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14
Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus	204	191	101	98	61	57	0	0	0	0	0	0	0	0	0	0	0	0	404
Curvibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dechloromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	2	2	18	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Denitratisoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derbicusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dunedinvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eleftheria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elizabethkingia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Empedobacter	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ensifer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter	3	1	20	25	10	11	0	0	0	0	0	0	0	0	0	0	0	0	4
Enterococcus	0	0	5	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Eponavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia	2	0	6	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3
Faucicola	9	8	10	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	17
Ferozepurvirus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Flavobacterium	3	2	47	39	12	6	0	1	1	0	0	0	0	0	0	0	0	4	5
Fulvitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	1	1	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Gamaleyavirus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glaesserella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gustavvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haematospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haladaptatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomicrobium	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomontanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halovivax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ideonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilyobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Junduvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kahnovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kilunavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella	12	14	34	29	11	11	0	0	0	0	0	0	0	0	0	0	0	0	26
Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krampusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactiplantibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus	3	4	4	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	7
Lagaffevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leisingera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lughvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Machinavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterraneibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metallibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanolobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Methanothrix	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Methylibium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylomonas	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylorubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium	0	0	82	81	831	794	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moellerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monoglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mooglevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morganella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moturavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mushuvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neptuniibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitratidesulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitratireductor	0	0	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niveibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niveispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonomuraea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novemvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oengusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ornithinimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Paracoccus	4	3	60	63	7	7	0	0	0	0	0	0	0	0	0	0	0	0	7
Paragemmobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pasteurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peribacillus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Persicobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peteryoungia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pettyvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeobacter	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Phytobacter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscesmortuivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Popoffvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
Priestia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Przondovirus	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudidiomarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolactococcus	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	107	100	75	68	299	262	2	11	0	0	0	0	1	1	1	0	0	0	211
Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pusillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qipengyuania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rahnella	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia	0	0	4	3	5	5	0	0	0	0	0	0	0	0	0	0	2	2	0
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reipivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium	1	1	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	2
Rhodococcoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus	3	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5
Rhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodovastum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riemerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robbsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseateles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubrivivax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salipiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella	0	1	4	4	14	14	0	0	0	0	0	0	0	0	0	0	0	0	1
Salvovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebaldella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Segatella	8	6	27	28	21	19	33	24	0	0	0	0	0	0	0	0	0	0	14
Senquatrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Septimatrevirus	2	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Serratia	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Sharonstreetvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenzhenvirus	0	1	0	0	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Shinella	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerotilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	2	3	3	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	5
Sphingopyxis	0	0	109	85	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sterolibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	13	13	134	135	114	112	0	0	0	0	0	0	2	0	0	0	0	0	27
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stutzerimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sukhumvitvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfitobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfuricystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfuriferula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurovum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tabrizicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taranisvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teetrevirus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tequatrovirus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Thauera	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioclava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiothrix	24	23	985	903	1	1	0	0	0	0	0	0	0	0	0	0	0	0	49
Tistrella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toutatisvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tritonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsukamurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax	5	5	5	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	10
Vequintavirus	1	1	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	2
Verminephrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vescimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vimunumvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitreoscilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Webervirus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Weissella	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas	29	28	8	11	30	17	0	0	0	0	0	0	0	0	0	0	0	0	59
Xooduovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yuavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
